genome,num_mismatches,jellyfish_time,alignment_time,preprocess_time,per_gRNA_time,num_grna
worm,0,247.251884937,295.3531228986,25.8123641014,0.408048789347,124
worm,1,231.122411966,294.0320789304,26.1334080696,0.423587577958,124
worm,2,231.122411966,295.8080429521,25.8574440479,0.910271813793,124
worm,3,247.251884937,294.6252320256,25.6402549744,11.0800354231,124
yeast,0,59.5107028484,190.7312657834,14.6551561356,0.110513274734,185
yeast,1,59.8165659904,191.3153007509,14.3711211681,0.13051080446,185
yeast,2,59.318256855,190.2625748159,14.5238471031,0.595596316054,185
yeast,3,59.608091116,190.7986069204,14.3878149986,10.4987376961,185
fruitfly,0,281.584076881,539.9275459293,37.3139591217,0.0130715874263,175
fruitfly,1,275.44982481,539.7614330295,37.4800720215,0.142621360506,175
fruitfly,2,274.650027037,538.955310202,36.986194849,1.01469404221,175
fruitfly,3,275.535572767,540.2722289566,37.0692760944,11.4155358178,175
